ILCE_ADI;MAHALLE_ADI
KİRAZ;DOKUZLAR
KİRAZ;EMENLER
KİRAZ;GEDİK
KİRAZ;HALİLLER
KİRAZ;HİSAR
KİRAZ;İĞDELİ
KİRAZ;İSTİKLAL
KİRAZ;KALEKÖY
KİRAZ;KARABAĞ
KİRAZ;KARABULU
KİRAZ;KARABURÇ
KİRAZ;KARAMAN
KİRAZ;KIRKÖY
KİRAZ;KİBAR
KİRAZ;MAVİDERE
KİRAZ;MERSİNLİDERE
KİRAZ;OLGUNLAR
KİRAZ;OVACIK
KİRAZ;ÖREN
KİRAZ;ÖRENCİK
KİRAZ;PINARBAŞI
KİRAZ;SAÇLI
KİRAZ;SARIKAYA
KİRAZ;SARISU
KİRAZ;SIRIMLI
KİRAZ;SOLAKLAR
KİRAZ;SULUDERE
KİRAZ;ŞEMSİLER
KİRAZ;TAŞLIYATAK
KİRAZ;TEKBIÇAKLAR
KİRAZ;TUMBULLAR
KİRAZ;UMURCALI
KİRAZ;UMURLU
KİRAZ;UZUNKÖY
KİRAZ;VELİLER
KİRAZ;YAĞLAR
KİRAZ;YENİ
KİRAZ;YENİKÖY
KİRAZ;YENİŞEHİR
KİRAZ;YEŞİLDERE
KONAK;19 MAYIS
KONAK;26 AĞUSTOS
KONAK;1.KADRİYE
KONAK;2.KADRİYE
KONAK;AKARCALI
KONAK;AKDENİZ
KONAK;AKIN SİMAV
KONAK;AKINCI
KONAK;ALİ REİS
KONAK;ALSANCAK
KONAK;ALTAY
KONAK;ALTINORDU
KONAK;ALTINTAŞ
KONAK;ANADOLU
KONAK;ATAMER
KONAK;ATİLLA
KONAK;AZİZİYE
KONAK;BALLIKUYU
KONAK;BARBAROS
KONAK;BOĞAZİÇİ
KONAK;BOZKURT
KONAK;CENGİZ TOPEL
KONAK;ÇAHABEY
KONAK;ÇANKAYA
KONAK;ÇINARLI
KONAK;ÇINARTEPE
KONAK;ÇİMENTEPE
KONAK;DAYIEMİR
KONAK;DOLAPLIKUYU
KONAK;DUATEPE
KONAK;EGE
KONAK;EMİR SULTAN
KONAK;ETİLER
KONAK;FAİK PAŞA
KONAK;FATİH
KONAK;FERAHLI
KONAK;FEVZİ PAŞA
KONAK;GÖZTEPE
KONAK;GÜNEŞ
KONAK;GÜNEŞLİ
KONAK;GÜNEY
KONAK;GÜNGÖR
KONAK;GÜZELYALI
KONAK;GÜZELYURT
KONAK;HALKAPINAR
KONAK;HASAN ÖZDEMİR
KONAK;HİLAL
KONAK;HURŞİDİYE
KONAK;HUZUR
KONAK;İMARİYE
KONAK;İSMET KAPTAN
KONAK;İSMET PAŞA
KONAK;KADİFEKALE
KONAK;KAHRAMAN MESCİT
KONAK;KAHRAMANLAR
KONAK;KEMAL REİS
KONAK;KESTELLİ
KONAK;KILIÇ REİS
KONAK;KOCAKAPI
KONAK;KOCATEPE
KONAK;KONAK
KONAK;KOSOVA
KONAK;KUBİLAY
KONAK;KURTULUŞ
KONAK;KÜÇÜKADA
KONAK;KÜLTÜR
KONAK;LALE
KONAK;LEVENT
KONAK;MECİDİYE
KONAK;MEHMET AKİF
KONAK;MEHMET ALİ AKMAN
KONAK;MEHTAP
KONAK;MERSİNLİ
KONAK;MİLLET
KONAK;MİMAR SİNAN
KONAK;MİRALİ
KONAK;MİTHATPAŞA
KONAK;MURAT
KONAK;MURAT REİS
